
Symbol                          DefinedIn                                  UsageCount UsedIn                                                                                                                                                                                                                                                                                                                                                                                                                        
------                          ---------                                  ---------- ------                                                                                                                                                                                                                                                                                                                                                                                                                        
GET                             app\[nik]\page.tsx                                 14 app\api\check-gemini\route.ts; app\api\extract\akta\route.ts; app\api\extract\classify\route.ts; app\api\extract\kk\route.ts; app\api\kk-page-identity\route.ts; app\api\students\[rowIndex]\route.ts; app\api\students\route.ts; app\page.tsx; components\dashboard\student-panel.tsx; components\upload-section.tsx; hooks\use-students.ts; lib\api\students.ts; lib\students\student-ai-matcher.ts; lib\students\student...
GET                             app\api\check-gemini\route.ts                      13 app\api\extract\akta\route.ts; app\api\extract\classify\route.ts; app\api\extract\kk\route.ts; app\api\kk-page-identity\route.ts; app\api\students\[rowIndex]\route.ts; app\api\students\route.ts; app\page.tsx; components\dashboard\student-panel.tsx; components\upload-section.tsx; hooks\use-students.ts; lib\api\students.ts; lib\students\student-ai-matcher.ts; lib\students\student-matcher.ts                       
POST                            app\api\extract\akta\route.ts                       7 app\api\extract\classify\route.ts; app\api\extract\kk\route.ts; app\api\kk-page-identity\route.ts; app\api\students\match\route.ts; lib\api\kk-page-identity.ts; lib\api\students.ts; lib\extraction\document-extraction.ts                                                                                                                                                                                                   
POST                            app\api\extract\classify\route.ts                   7 app\api\extract\akta\route.ts; app\api\extract\kk\route.ts; app\api\kk-page-identity\route.ts; app\api\students\match\route.ts; lib\api\kk-page-identity.ts; lib\api\students.ts; lib\extraction\document-extraction.ts                                                                                                                                                                                                       
POST                            app\api\extract\kk\route.ts                         7 app\api\extract\akta\route.ts; app\api\extract\classify\route.ts; app\api\kk-page-identity\route.ts; app\api\students\match\route.ts; lib\api\kk-page-identity.ts; lib\api\students.ts; lib\extraction\document-extraction.ts                                                                                                                                                                                                 
POST                            app\api\kk-page-identity\route.ts                   7 app\api\extract\akta\route.ts; app\api\extract\classify\route.ts; app\api\extract\kk\route.ts; app\api\students\match\route.ts; lib\api\kk-page-identity.ts; lib\api\students.ts; lib\extraction\document-extraction.ts                                                                                                                                                                                                       
POST                            app\api\students\[rowIndex]\route.ts                8 app\api\extract\akta\route.ts; app\api\extract\classify\route.ts; app\api\extract\kk\route.ts; app\api\kk-page-identity\route.ts; app\api\students\match\route.ts; lib\api\kk-page-identity.ts; lib\api\students.ts; lib\extraction\document-extraction.ts                                                                                                                                                                    
POST                            app\api\students\match\route.ts                     7 app\api\extract\akta\route.ts; app\api\extract\classify\route.ts; app\api\extract\kk\route.ts; app\api\kk-page-identity\route.ts; lib\api\kk-page-identity.ts; lib\api\students.ts; lib\extraction\document-extraction.ts                                                                                                                                                                                                     
GET                             app\api\students\route.ts                          13 app\api\check-gemini\route.ts; app\api\extract\akta\route.ts; app\api\extract\classify\route.ts; app\api\extract\kk\route.ts; app\api\kk-page-identity\route.ts; app\api\students\[rowIndex]\route.ts; app\page.tsx; components\dashboard\student-panel.tsx; components\upload-section.tsx; hooks\use-students.ts; lib\api\students.ts; lib\students\student-ai-matcher.ts; lib\students\student-matcher.ts                   
metadata                        app\layout.tsx                                      0                                                                                                                                                                                                                                                                                                                                                                                                                               
RootLayout                      app\layout.tsx                                      0                                                                                                                                                                                                                                                                                                                                                                                                                               
Home                            app\page.tsx                                        1 app\[nik]\page.tsx                                                                                                                                                                                                                                                                                                                                                                                                            
AktaPanel                       components\dashboard\akta-panel.tsx                 1 app\page.tsx                                                                                                                                                                                                                                                                                                                                                                                                                  
DashboardContent                components\dashboard\dashboard-content.tsx          1 app\page.tsx                                                                                                                                                                                                                                                                                                                                                                                                                  
DashboardLayout                 components\dashboard\dashboard-layout.tsx           1 app\page.tsx                                                                                                                                                                                                                                                                                                                                                                                                                  
HistoryPanel                    components\dashboard\history-panel.tsx              0                                                                                                                                                                                                                                                                                                                                                                                                                               
KkMembers                       components\dashboard\kk-members.tsx                 1 app\page.tsx                                                                                                                                                                                                                                                                                                                                                                                                                  
KkSummary                       components\dashboard\kk-summary.tsx                 1 app\page.tsx                                                                                                                                                                                                                                                                                                                                                                                                                  
StudentPanel                    components\dashboard\student-panel.tsx              1 app\page.tsx                                                                                                                                                                                                                                                                                                                                                                                                                  
ManualResolutionCandidate       components\upload-section.tsx                       0                                                                                                                                                                                                                                                                                                                                                                                                                               
